SOL_ID;[INIT_PARAMS];JANELAS;SEXTOS_HORARIOS;VALOR_FINAL
62;[1,1];0.25;3.5;742.95
74;[1,1];0.25;3.5;742.95
73;[1,1];0.25;3.5;742.95
72;[1,1];0.25;3.5;742.95
71;[1,1];0.25;3.5;742.95
70;[1,1];0.25;3.5;742.95
69;[1,1];0.25;3.5;742.95
68;[1,1];0.25;3.5;742.95
67;[1,1];0.25;3.5;742.95
66;[1,1];0.25;3.5;742.95
65;[1,1];0.25;3.5;742.95
64;[1,1];0.25;3.5;742.95
63;[1,1];0.25;3.5;742.95
75;[1,1];0.25;3.5;742.95
61;[1,1];0.25;3.5;742.95
60;[1,1];0.25;3.5;742.95
59;[1,1];0.25;3.5;742.95
58;[1,1];0.25;3.5;742.95
57;[1,1];0.25;3.5;742.95
56;[1,1];0.25;3.5;742.95
55;[1,1];0.25;3.5;742.95
54;[1,1];0.25;3.5;742.95
53;[1,1];0.25;3.5;742.95
52;[1,1];0.25;3.5;742.95
51;[1,1];0.25;3.5;742.95
87;[1,1];0.25;3.5;742.95
99;[1,1];0.25;3.5;742.95
98;[1,1];0.25;3.5;742.95
97;[1,1];0.25;3.5;742.95
96;[1,1];0.25;3.5;742.95
95;[1,1];0.25;3.5;742.95
94;[1,1];0.25;3.5;742.95
93;[1,1];0.25;3.5;742.95
92;[1,1];0.25;3.5;742.95
91;[1,1];0.25;3.5;742.95
90;[1,1];0.25;3.5;742.95
89;[1,1];0.25;3.5;742.95
88;[1,1];0.25;3.5;742.95
50;[1,1];0.25;3.5;742.95
86;[1,1];0.25;3.5;742.95
85;[1,1];0.25;3.5;742.95
84;[1,1];0.25;3.5;742.95
83;[1,1];0.25;3.5;742.95
82;[1,1];0.25;3.5;742.95
81;[1,1];0.25;3.5;742.95
80;[1,1];0.25;3.5;742.95
79;[1,1];0.25;3.5;742.95
78;[1,1];0.25;3.5;742.95
77;[1,1];0.25;3.5;742.95
76;[1,1];0.25;3.5;742.95
12;[1,1];0.25;3.5;742.95
24;[1,1];0.25;3.5;742.95
23;[1,1];0.25;3.5;742.95
22;[1,1];0.25;3.5;742.95
21;[1,1];0.25;3.5;742.95
20;[1,1];0.25;3.5;742.95
19;[1,1];0.25;3.5;742.95
18;[1,1];0.25;3.5;742.95
17;[1,1];0.25;3.5;742.95
16;[1,1];0.25;3.5;742.95
15;[1,1];0.25;3.5;742.95
14;[1,1];0.25;3.5;742.95
13;[1,1];0.25;3.5;742.95
25;[1,1];0.25;3.5;742.95
11;[1,1];0.25;3.5;742.95
10;[1,1];0.25;3.5;742.95
9;[1,1];0.25;3.5;742.95
8;[1,1];0.25;3.5;742.95
7;[1,1];0.25;3.5;742.95
6;[1,1];0.25;3.5;742.95
5;[1,1];0.25;3.5;742.95
4;[1,1];0.25;3.5;742.95
3;[1,1];0.25;3.5;742.95
2;[1,1];0.25;3.5;742.95
1;[1,1];0.25;3.5;742.95
37;[1,1];0.25;3.5;742.95
49;[1,1];0.25;3.5;742.95
48;[1,1];0.25;3.5;742.95
47;[1,1];0.25;3.5;742.95
46;[1,1];0.25;3.5;742.95
45;[1,1];0.25;3.5;742.95
44;[1,1];0.25;3.5;742.95
43;[1,1];0.25;3.5;742.95
42;[1,1];0.25;3.5;742.95
41;[1,1];0.25;3.5;742.95
40;[1,1];0.25;3.5;742.95
39;[1,1];0.25;3.5;742.95
38;[1,1];0.25;3.5;742.95
36;[1,1];0.25;3.5;742.95
35;[1,1];0.25;3.5;742.95
34;[1,1];0.25;3.5;742.95
33;[1,1];0.25;3.5;742.95
32;[1,1];0.25;3.5;742.95
31;[1,1];0.25;3.5;742.95
30;[1,1];0.25;3.5;742.95
29;[1,1];0.25;3.5;742.95
28;[1,1];0.25;3.5;742.95
27;[1,1];0.25;3.5;742.95
26;[1,1];0.25;3.5;742.95
0;[1,1];0;0;0
23;[1,1];0.25;3.5;742.95
7;[1,1];0.25;3.5;742.95
9;[1,1];0.25;3.5;742.95
25;[1,1];0.25;3.5;742.95
13;[1,1];0.25;3.5;742.95
14;[1,1];0.25;3.5;742.95
17;[1,1];0.25;3.5;742.95
18;[1,1];0.25;3.5;742.95
20;[1,1];0.25;3.5;742.95
21;[1,1];0.25;3.5;742.95
6;[1,1];0.25;3.5;742.95
62;[1,1];0.25;3.5;742.95
78;[1,1];0.25;3.5;742.95
79;[1,1];0.25;3.5;742.95
80;[1,1];0.25;3.5;742.95
81;[1,1];0.25;3.5;742.95
82;[1,1];0.25;3.5;742.95
83;[1,1];0.25;3.5;742.95
84;[1,1];0.25;3.5;742.95
85;[1,1];0.25;3.5;742.95
41;[1,1];0.25;3.5;742.95
0;[1,1];0.25;3.5;742.95
27;[1,1];0.25;3.5;742.95
28;[1,1];0.25;3.5;742.95
29;[1,1];0.25;3.5;742.95
31;[1,1];0.25;3.5;742.95
32;[1,1];0.25;3.5;742.95
35;[1,1];0.25;3.5;742.95
38;[1,1];0.25;3.5;742.95
40;[1,1];0.25;3.5;742.95
12;[1,1];0.25;3.5;742.95
42;[1,1];0.25;3.5;742.95
43;[1,1];0.25;3.5;742.95
44;[1,1];0.25;3.5;742.95
45;[1,1];0.25;3.5;742.95
46;[1,1];0.25;3.5;742.95
47;[1,1];0.25;3.5;742.95
48;[1,1];0.25;3.5;742.95
2;[1,1];0.25;3.5;742.95
4;[1,1];0.25;3.5;742.95
58;[1,1];0.25;3.5;742.95
87;[1,1];0.25;3.5;742.95
51;[1,1];0.25;3.5;742.95
52;[1,1];0.25;3.5;742.95
53;[1,1];0.25;3.5;742.95
54;[1,1];0.25;3.5;742.95
55;[1,1];0.25;3.5;742.95
56;[1,1];0.25;3.5;742.95
57;[1,1];0.25;3.5;742.95
50;[1,1];0.25;3.5;742.95
60;[1,1];0.25;3.5;742.95
63;[1,1];0.25;3.5;742.95
66;[1,1];0.25;3.5;742.95
68;[1,1];0.25;3.5;742.95
69;[1,1];0.25;3.5;742.95
70;[1,1];0.25;3.5;742.95
73;[1,1];0.25;3.5;742.95
74;[1,1];0.25;3.5;742.95
99;[1,1];0.25;3.5;742.95
92;[1,1];0.25;3.5;742.95
95;[1,1];0.25;3.5;742.95
89;[1,1];0.25;3.5;742.95
96;[1,1];0.25;3.5;742.95
97;[1,1];0.25;3.5;742.95
98;[1,1];0.25;3.5;742.95
11;[1,1];0.25;2;435.45
93;[1,1];0.25;2;435.45
77;[1,1];0.25;2;435.45
64;[1,1];0.25;2;435.45
65;[1,1];0.25;2;435.45
49;[1,1];0.25;2;435.45
39;[1,1];0.25;2;435.45
36;[1,1];0.25;2;435.45
88;[1,1];0.25;2;435.45
91;[1,1];0.25;1.5;332.95
34;[1,1];0.25;1.5;332.95
16;[1,1];0.25;1.5;332.95
90;[1,1];0.25;1.5;332.95
26;[1,1];0.25;1.5;332.95
30;[1,1];0.25;1.5;332.95
71;[1,1];0.25;1.5;332.95
61;[1,1];0.25;1.5;332.95
59;[1,1];0.25;1.5;332.95
76;[1,1];0.25;1.5;332.95
37;[1,1];0.25;1.5;332.95
1;[1,1];0.25;1.5;332.95
75;[1,1];0.25;1.5;332.95
94;[1,1];0.25;1.5;332.95
15;[1,1];0.25;1.5;332.95
19;[1,1];0.25;1.5;332.95
5;[1,1];0.25;1.5;332.95
10;[1,1];0.25;1.5;332.95
8;[1,1];0.25;1.5;332.95
86;[1,1];0.25;0;25.45
72;[1,1];0.25;0;25.45
22;[1,1];0.25;0;25.45
33;[1,1];0.25;0;25.45
24;[1,1];0.25;0;25.45
3;[1,1];0.25;0;25.45
67;[1,1];0.25;0;25.45
